precinct,pct_obama,pct_romney,total_votes,pct_hisp,county
X012,0.569148936,0.420212766,376,0.337765957,broward
F009,0.569230769,0.419230769,780,0.186346863,broward
J009,0.569506726,0.426008969,223,0.213389121,broward
V021,0.570652174,0.413043478,368,0.225083987,broward
E014,0.571428571,0.424369748,952,0.114254625,broward
Q062,0.572072072,0.414414414,888,0.566482397,broward
E020,0.572078907,0.415781487,659,0.250545256,broward
T012,0.572277228,0.411881188,505,0.266615147,broward
E013,0.57312253,0.415019763,759,0.163810283,broward
U007,0.574136009,0.421404682,897,0.17663954,broward
E011,0.574561404,0.409356725,684,0.178237461,broward
E024,0.574766355,0.413551402,428,0.15980094,broward
G004,0.575581395,0.412790698,516,0.228093645,broward
X018,0.575907591,0.415841584,606,0.411812298,broward
E031,0.57635468,0.411330049,406,0.119570294,broward
V029,0.57660626,0.397034596,607,0.229865772,broward
A002,0.576923077,0.412393162,468,0.157311157,broward
X041,0.577777778,0.4,90,0.408444636,broward
F007,0.577810871,0.413253909,1343,0.185469149,broward
U010,0.581395349,0.418604651,43,0.197,broward
Y007,0.582222222,0.404444444,225,0.380306093,broward
N009,0.583018868,0.401886792,530,0.236054972,broward
X048,0.583044983,0.416955017,578,0.35026738,broward
X024,0.583050847,0.413559322,295,0.357425481,broward
M029,0.583081571,0.401812689,662,0.230392157,broward
D011,0.583665339,0.410358566,502,0.204678363,broward
F013,0.58410596,0.40397351,755,0.171256454,broward
J004,0.585139319,0.404024768,646,0.252916472,broward
F008,0.585365854,0.401721664,697,0.186203978,broward
W023,0.585964912,0.410526316,855,0.353337153,broward
G002,0.586206897,0.404597701,435,0.15040783,broward
S007,0.586715867,0.404059041,542,0.197268589,broward
G008,0.587012987,0.401298701,770,0.140180879,broward
G008,0.587012987,0.401298701,770,0,broward
S001,0.587443946,0.403587444,446,0.135996409,broward
R028,0.587628866,0.39862543,291,0.009400179,broward
Q066,0.587951807,0.407228916,415,0.215792055,broward
M026,0.588362069,0.407327586,464,0.195081284,broward
X039,0.588785047,0.406542056,642,0.290267011,broward
E006,0.589632829,0.401727862,463,0.183028286,broward
Q060,0.590534979,0.403292181,486,0.372725124,broward
W021,0.590909091,0.409090909,924,0.467155009,broward
J016,0.591150442,0.4,565,0.326300985,broward
Q065,0.5921875,0.4015625,640,0.478376139,broward
V040,0.593073593,0.402597403,462,0.374109264,broward
Q064,0.593667546,0.390501319,379,0.423290203,broward
Q064,0.593667546,0.390501319,379,0.407730673,broward
J001,0.594202899,0.391304348,207,0.191376255,broward
V012,0.59478673,0.393364929,422,0.310836502,broward
X033,0.596491228,0.403508772,399,0.486897444,broward
J017,0.597122302,0.388489209,139,0.164965986,broward
A003,0.597156398,0.393364929,211,0.060773481,broward
X021,0.599496222,0.397984887,397,0.290078143,broward
G016,0.600896861,0.390134529,669,0.176886792,broward
V031,0.601532567,0.388250319,783,0.184911243,broward
R065,0.602083333,0.39375,480,0.133012821,broward
X032,0.602739726,0.383561644,292,0.375825627,broward
A013,0.602996255,0.393258427,267,0.137823511,broward
X023,0.603383459,0.394736842,532,0.362917399,broward
M015,0.60375,0.38625,800,0.26038206,broward
X042,0.603773585,0.38593482,583,0.454265949,broward
X035,0.60443038,0.390822785,632,0.406200318,broward
E004,0.606015038,0.368421053,665,0.178022541,broward
X007,0.607476636,0.38317757,749,0.437757626,broward
R062,0.607675906,0.36673774,469,0.02699784,broward
S008,0.607888631,0.380510441,431,0.286710848,broward
X015,0.609090909,0.384415584,770,0.315592904,broward
E034,0.60950764,0.37860781,589,0.159179688,broward
R029,0.60952381,0.366666667,210,0.010924982,broward
P002,0.610169492,0.355932203,59,0.101626016,broward
R027,0.611111111,0.375,360,0.076488706,broward
D006,0.611650485,0.378640777,103,0.123216602,broward
M031,0.611650485,0.381067961,412,0.142713568,broward
T020,0.611702128,0.381205674,564,0.246765692,broward
W014,0.612217795,0.379814077,753,0.501212255,broward
D005,0.612426036,0.378698225,338,0.142857143,broward
G007,0.612462006,0.375379939,658,0.235465116,broward
F004,0.613122172,0.366515837,442,0.074732334,broward
X044,0.613803231,0.377386197,681,0.394011976,broward
S005,0.616292798,0.373081464,847,0.217619297,broward
A023,0.617135207,0.368139224,747,0.160123967,broward
R060,0.618131868,0.376373626,364,0.110458911,broward
A012,0.618243243,0.378378378,296,0.124938995,broward
V047,0.618942731,0.365638767,454,0.112676056,broward
G010,0.619631902,0.371165644,652,0.166964286,broward
R064,0.619808307,0.376996805,626,0.167475728,broward
T005,0.620155039,0.362403101,516,0.295942721,broward
N020,0.620328849,0.3632287,669,0.11836543,broward
N018,0.62035225,0.371819961,511,0.218930636,broward
N018,0.62035225,0.371819961,511,0.176470588,broward
V052,0.621291449,0.363001745,573,0.428645028,broward
M020,0.621444201,0.365426696,457,0.252319109,broward
A018,0.622568093,0.373540856,257,0.374407583,broward
A018,0.622568093,0.373540856,257,0.100601892,broward
N019,0.625,0.375,200,0.104642594,broward
R018,0.625,0.325,40,0.115534738,broward
X004,0.625531915,0.361702128,235,0.478412256,broward
E010,0.626506024,0.365826944,913,0.201535509,broward
X034,0.626556017,0.360995851,482,0.355414013,broward
J015,0.627147766,0.372852234,582,0.113264688,broward
U011,0.627737226,0.367396594,411,0.270579814,broward
V058,0.628458498,0.369565217,506,0.131812421,broward
W022,0.630185349,0.359223301,1133,0.385589388,broward
X022,0.630390144,0.367556468,487,0.255569567,broward
N014,0.630541872,0.359605911,406,0.208791209,broward
M001,0.631639723,0.360277136,866,0.231569426,broward
X006,0.631840796,0.364427861,804,0.307604994,broward
M017,0.633548387,0.358709677,775,0.25267666,broward
Q069,0.634020619,0.358247423,388,0.442028986,broward
V009,0.634146341,0.359756098,328,0.275335493,broward
V022,0.635869565,0.351449275,552,0.216276477,broward
E008,0.636566332,0.358974359,897,0.212283465,broward
V033,0.63800905,0.34841629,442,0.278600269,broward
V042,0.640816327,0.355102041,245,0.429921907,broward
R026,0.640826873,0.333333333,387,0.019065777,broward
V020,0.642036125,0.349753695,609,0.320720721,broward
V056,0.644144144,0.344594595,444,0.244897959,broward
J010,0.644760213,0.353463588,563,0.193014706,broward
N022,0.64516129,0.344086022,93,0.182579126,broward
T016,0.645502646,0.354497354,189,0.192567568,broward
W019,0.646836638,0.351274788,1059,0.362681341,broward
V055,0.647783251,0.334975369,406,0.135027404,broward
J023,0.648648649,0.343629344,259,0.231884058,broward
W024,0.648910412,0.347457627,826,0.262195122,broward
E002,0.649746193,0.338409475,591,0.218765192,broward
M032,0.65,0.347368421,380,0.319742489,broward
M032,0.65,0.347368421,380,0.234567901,broward
F011,0.650966184,0.332125604,828,0.138483965,broward
T002,0.651245552,0.332740214,562,0.283790782,broward
J020,0.651515152,0.338383838,594,0.180440771,broward
J020,0.651515152,0.338383838,594,0.14889336,broward
C033,0.653061224,0.326530612,98,0.214076246,broward
V007,0.653097345,0.339823009,565,0.139374238,broward
E009,0.654411765,0.330882353,544,0.143375681,broward
T004,0.655030801,0.316221766,487,0.201634877,broward
F001,0.655430712,0.337078652,267,0.118681319,broward
X045,0.656716418,0.334991708,603,0.419052577,broward
F012,0.6576,0.3408,625,0.194516053,broward
E025,0.660179641,0.324850299,668,0.2082397,broward
P005,0.660287081,0.327751196,418,0.081826832,broward
J021,0.66029724,0.332271762,942,0.188287922,broward
X020,0.661764706,0.323529412,272,0.42766151,broward
N016,0.663716814,0.32300885,452,0.140616549,broward
G009,0.663755459,0.331877729,229,0.235294118,broward
T024,0.664502165,0.32034632,462,0.24651504,broward
V057,0.664670659,0.317365269,668,0.145438389,broward
W025,0.66509434,0.331367925,848,0.122541201,broward
X013,0.665346535,0.332673267,505,0.339698862,broward
D002,0.665517241,0.331034483,290,0.192198982,broward
X008,0.665898618,0.329493088,434,0.312680115,broward
D004,0.666666667,0.333333333,12,0.118594436,broward
S003,0.666666667,0.333333333,6,0.199079402,broward
M008,0.668380463,0.326478149,389,0.349170006,broward
A019,0.668571429,0.325714286,175,0.122485207,broward
E005,0.669543773,0.319358816,811,0.257142857,broward
F003,0.670250896,0.322580645,279,0.176061239,broward
M023,0.671717172,0.316498316,594,0.217411331,broward
T001,0.672151899,0.306329114,790,0.302245908,broward
X001,0.672583826,0.3234714,507,0.33463035,broward
X001,0.672583826,0.3234714,507,0.386075949,broward
J003,0.672619048,0.30952381,672,0.178571429,broward
X019,0.67281106,0.316820276,868,0.451680672,broward
N013,0.676300578,0.315992293,519,0.140783745,broward
Q063,0.677304965,0.312056738,564,0.393716578,broward
F005,0.67833698,0.319474836,457,0.176146789,broward
G011,0.678438662,0.314126394,538,0.187444346,broward
M018,0.679432624,0.313475177,705,0.318398475,broward
R003,0.68,0.32,25,0.08320951,broward
V046,0.680147059,0.314338235,544,0.464088398,broward
E016,0.680434783,0.306521739,460,0.152375435,broward
F006,0.680738786,0.303430079,379,0.169186759,broward
C010,0.681818182,0.272727273,66,0.108940972,broward
J002,0.682042834,0.31630972,607,0.276560789,broward
P004,0.682882883,0.297297297,555,0.108327691,broward
G001,0.683844011,0.305013928,718,0.189969605,broward
V041,0.685636856,0.295392954,369,0.361111111,broward
M012,0.686648501,0.29972752,367,0.206828885,broward
M027,0.687116564,0.308282209,652,0.171905697,broward
M022,0.691107644,0.293291732,641,0.289652056,broward
M025,0.692528736,0.290229885,348,0.367825841,broward
V019,0.693150685,0.301369863,365,0.198795181,broward
V039,0.694497154,0.299810247,527,0.346266471,broward
V039,0.694497154,0.299810247,527,0.297297297,broward
V053,0.695296524,0.296523517,489,0.077212806,broward
V016,0.695652174,0.291925466,161,0.2476402,broward
F010,0.7,0.286363636,220,0.197146076,broward
J012,0.700653595,0.278431373,765,0.14724883,broward
X016,0.700699301,0.28951049,715,0.363825364,broward
R061,0.702702703,0.279279279,111,0.125,broward
J018,0.703125,0.291666667,192,0.201528176,broward
J014,0.703862661,0.283261803,466,0.133462282,broward
J005,0.704166667,0.286111111,720,0.295269168,broward
X010,0.705336427,0.294663573,431,0.306872852,broward
M030,0.707084469,0.280653951,734,0.282051282,broward
M014,0.708894879,0.28032345,371,0.20489174,broward
V050,0.710300429,0.28111588,466,0.390904169,broward
V027,0.711864407,0.271186441,236,0.216346154,broward
L001,0.712328767,0.276712329,365,0.13919935,broward
V008,0.712820513,0.276923077,390,0.086065574,broward
C031,0.713114754,0.254098361,122,0.181130396,broward
V044,0.714285714,0.279069767,301,0.441351889,broward
J013,0.71594509,0.274551214,947,0.201516793,broward
M028,0.717514124,0.27306968,531,0.256246938,broward
R044,0.718487395,0.260504202,238,0.09703504,broward
H009,0.71875,0.28125,32,0.145454545,broward
V018,0.719008264,0.26446281,484,0.232926513,broward
M021,0.71942446,0.255395683,278,0.252813853,broward
J006,0.719934102,0.268533773,607,0.250626566,broward
V051,0.722117202,0.266540643,529,0.264112903,broward
J007,0.723723724,0.273273273,333,0.211151265,broward
N015,0.724340176,0.269794721,682,0.146627566,broward
T009,0.726041667,0.265625,960,0.405429594,broward
C023,0.727272727,0.272727273,11,0.138206845,broward
C023,0.727272727,0.272727273,11,0.176470588,broward
G012,0.729306488,0.263982103,447,0.183128671,broward
M009,0.730077121,0.264781491,389,0.220131291,broward
M010,0.730673317,0.259351621,401,0.359095193,broward
L019,0.731914894,0.25106383,470,0.033816425,broward
M007,0.732484076,0.250530786,471,0.310377358,broward
P003,0.733524355,0.243553009,349,0.079112599,broward
A007,0.734693878,0.25170068,588,0.111235327,broward
L003,0.736972705,0.243176179,403,0.040102389,broward
J022,0.736979167,0.260416667,384,0.065497679,broward
X014,0.737113402,0.262886598,582,0.396852403,broward
V024,0.738498789,0.244552058,413,0.161778619,broward
G014,0.740046838,0.257611241,427,0.217959528,broward
V015,0.741344196,0.250509165,491,0.236024845,broward
Q080,0.741573034,0.247191011,445,0.339004411,broward
P001,0.742990654,0.242990654,428,0.099363057,broward
X003,0.743548387,0.24516129,620,0.39279957,broward
M019,0.744680851,0.25,188,0.193127148,broward
