precinct,pct_trump,pct_clinton,total_votes,pct_hisp,county
408,0.303886926,0.666431095,1415,0.814738997,miami-dade
409,0.360588235,0.601764706,1700,0.827276439,miami-dade
410,0.419833729,0.544536817,1684,0.898073836,miami-dade
411,0.31462141,0.65535248,1532,0.842373667,miami-dade
412,0.610979929,0.350649351,1694,0.84929078,miami-dade
413,0.634237996,0.334864301,2395,0.864747756,miami-dade
414,0.53507014,0.429525718,1497,0.871330724,miami-dade
415,0.43951947,0.527754764,2414,0.85365184,miami-dade
416,0.457937585,0.513568521,1474,0.899074074,miami-dade
417,0.523125,0.443125,1600,0.8404303,miami-dade
418,0.50433526,0.456647399,692,0.816993464,miami-dade
419,0.604206501,0.361376673,1046,0.831395349,miami-dade
420,0.588337182,0.383949192,1732,0.855598789,miami-dade
421,0.575147929,0.395857988,1690,0.844933921,miami-dade
422,0.555771096,0.414161009,1031,0.825863336,miami-dade
423,0.545883941,0.419703104,1482,0.822734101,miami-dade
424,0.5376,0.425066667,1875,0.859840232,miami-dade
425,0.491740788,0.481575604,787,0.869763206,miami-dade
426,0.50967008,0.454304133,2637,0.819516408,miami-dade
427,0.502277904,0.48405467,878,0.863599677,miami-dade
428,0.492343032,0.4762634,1306,0.827488688,miami-dade
429,0.501075269,0.474551971,1395,0.675443618,miami-dade
430,0.51826484,0.449200913,1752,0.811046512,miami-dade
431,0.470588235,0.479367867,1139,0.717092338,miami-dade
432,0.484421365,0.477744807,1348,0.792179968,miami-dade
433,0.571240106,0.398416887,1516,0.825513196,miami-dade
434,0.57106599,0.39784264,1576,0.797498797,miami-dade
435,0.499420626,0.462340672,1726,0.859177859,miami-dade
436,0.516339869,0.446821153,1683,0.837066315,miami-dade
437,0.56957708,0.392905866,1466,0.864720195,miami-dade
438,0.583333333,0.383647799,1908,0.867718903,miami-dade
439,0.634394042,0.333107651,1477,0.865865866,miami-dade
440,0.595683453,0.365467626,1390,0.826132223,miami-dade
441,0.567004505,0.399211712,1776,0.801479655,miami-dade
442,0.472727273,0.500478469,1045,0.883248731,miami-dade
443,0.357441721,0.612671847,1673,0.889760349,miami-dade
444,0.463343109,0.51202346,1705,0.890749267,miami-dade
445,1,0,1,0,miami-dade
446,0.333333333,0.666666667,9,0.666666667,miami-dade
447,0.357732526,0.605943864,1817,0.873739411,miami-dade
448,0.387818521,0.581727781,1609,0.857872736,miami-dade
449,0.534626039,0.433056325,1083,0.8684573,miami-dade
450,0.321052632,0.646710526,1520,0.711263882,miami-dade
451,0.631143776,0.337620579,2177,0.885714286,miami-dade
452,0.261916708,0.699949824,1993,0.79107349,miami-dade
453,0.264705882,0.705882353,34,0.490909091,miami-dade
454,0.302983933,0.661820964,1307,0.713787086,miami-dade
455,0.351818724,0.60822898,1677,0.888185654,miami-dade
456,0.25,0.5,4,0.571428571,miami-dade
457,0.518487395,0.449579832,1190,0.886269888,miami-dade
458,0.168539326,0.792645557,979,0.413996627,miami-dade
459,0.6228482,0.342723005,639,0.845336482,miami-dade
460,0.457142857,0.514285714,35,0.826086957,miami-dade
461,0.45899411,0.512460353,2207,0.858861789,miami-dade
462,0.240095465,0.73699284,2095,0.814772727,miami-dade
464,0.601635514,0.376168224,856,0.873811582,miami-dade
465,0.533671253,0.446053584,1381,0.87218439,miami-dade
466,0.394810009,0.579240037,1079,0.882923674,miami-dade
467,0.540625,0.4275,1600,0.863594041,miami-dade
468,0.258928571,0.7125,1120,0.76874562,miami-dade
469,0.433308214,0.53089676,2654,0.844438249,miami-dade
470,0.312541037,0.665791202,1523,0.817750356,miami-dade
471,0.547062987,0.422505308,1413,0.864836325,miami-dade
488,0.339218159,0.633879781,2379,0.896551724,miami-dade
498,0.070989761,0.905802048,1465,0.171494253,miami-dade
499,0.052631579,0.947368421,19,0.032258065,miami-dade
500,0.605410448,0.375932836,1072,0.863636364,miami-dade
501,0.05582762,0.927522037,1021,0.153158902,miami-dade
502,0.201894612,0.766133807,1689,0.347294939,miami-dade
503,0.409395973,0.574496644,745,0.832068311,miami-dade
504,0.144799456,0.828008158,1471,0.341991342,miami-dade
505,0.051886792,0.93490566,1060,0.106658446,miami-dade
506,0.048346056,0.933842239,786,0.105092967,miami-dade
507,0.033602151,0.947580645,744,0.079298831,miami-dade
508,0.021294719,0.965076661,1174,0.06969697,miami-dade
509,0.467860049,0.506916192,1229,0.882842865,miami-dade
510,0.451612903,0.516129032,682,0.879361914,miami-dade
511,0.044847328,0.938931298,1048,0.092719353,miami-dade
512,0.033488372,0.955348837,1075,0.13562387,miami-dade
514,0.06,0.919047619,1050,0.228710462,miami-dade
515,0.086805556,0.878472222,1152,0.079519451,miami-dade
516,0.230136986,0.740639269,1095,0.323725055,miami-dade
517,0.132867133,0.837995338,858,0.310841547,miami-dade
518,0.080530973,0.892920354,1130,0.311098332,miami-dade
519,0.0514198,0.924021489,1303,0.176207068,miami-dade
520,0.031674208,0.950791855,1768,0.123641813,miami-dade
521,0.034560481,0.953418482,1331,0.103764479,miami-dade
