"precinct","total_votes","pct_clinton","pct_trump","pct_hisp","county"
"AURORA - ED 009",989,0.42669363,0.495449949,0,"erie_2016_merged.csv"
"AURORA - ED 010",932,0.402360515,0.52360515,0,"erie_2016_merged.csv"
"BOSTON - ED 001",792,0.311868687,0.617424242,0,"erie_2016_merged.csv"
"BOSTON - ED 002",799,0.347934919,0.591989987,0,"erie_2016_merged.csv"
"BOSTON - ED 003",544,0.299632353,0.632352941,0,"erie_2016_merged.csv"
"BOSTON - ED 004",1158,0.310017271,0.625215889,0,"erie_2016_merged.csv"
"BOSTON - ED 005",786,0.32697201,0.592875318,0,"erie_2016_merged.csv"
"BOSTON - ED 006",501,0.22754491,0.708582834,0,"erie_2016_merged.csv"
"BRANT - ED 001",304,0.25,0.667763158,0.011547344,"erie_2016_merged.csv"
"BRANT - ED 002",265,0.464150943,0.513207547,0.028846154,"erie_2016_merged.csv"
"BRANT - ED 003",150,0.346666667,0.56,0.008097166,"erie_2016_merged.csv"
"BRANT - ED 004",343,0.262390671,0.670553936,0.013806706,"erie_2016_merged.csv"
"BUFFALO - WD DEL - ED 001",12,1,0,0.388888889,"erie_2016_merged.csv"
"BUFFALO - WD DEL - ED 002",917,0.708833152,0.224645583,0.060765191,"erie_2016_merged.csv"
"BUFFALO - WD DEL - ED 003",431,0.628770302,0.299303944,0.035175879,"erie_2016_merged.csv"
"BUFFALO - WD DEL - ED 004",356,0.674157303,0.25,0.057971014,"erie_2016_merged.csv"
"BUFFALO - WD DEL - ED 005",405,0.716049383,0.224691358,0.045378151,"erie_2016_merged.csv"
"BUFFALO - WD DEL - ED 006",283,0.692579505,0.240282686,0.03307888,"erie_2016_merged.csv"
"BUFFALO - WD DEL - ED 007",475,0.705263158,0.225263158,0.036277603,"erie_2016_merged.csv"
"BUFFALO - WD DEL - ED 008",584,0.643835616,0.27739726,0.039540816,"erie_2016_merged.csv"
"BUFFALO - WD DEL - ED 009",635,0.716535433,0.226771654,0.041871921,"erie_2016_merged.csv"
"BUFFALO - WD DEL - ED 010",219,0.739726027,0.219178082,0.015444015,"erie_2016_merged.csv"
"BUFFALO - WD DEL - ED 011",585,0.702564103,0.223931624,0.058194774,"erie_2016_merged.csv"
"BUFFALO - WD DEL - ED 012",492,0.695121951,0.239837398,0.033287101,"erie_2016_merged.csv"
"BUFFALO - WD DEL - ED 013",302,0.71192053,0.201986755,0.061403509,"erie_2016_merged.csv"
"BUFFALO - WD DEL - ED 014",467,0.713062099,0.235546039,0.062767475,"erie_2016_merged.csv"
"BUFFALO - WD DEL - ED 015",279,0.559139785,0.35125448,0.026315789,"erie_2016_merged.csv"
