"precinct","total_votes","pct_clinton","pct_trump","pct_hisp"
27027,557,0.269299820466786,0.649910233393178,0.00820419325432999
27028,566,0.630742049469965,0.342756183745583,0.14658273381295
27029,357,0.689075630252101,0.271708683473389,0.124108416547789
27030,396,0.358585858585859,0.590909090909091,0.0636743215031315
27031,72,0.791666666666667,0.180555555555556,0.195945945945946
27032,84,0.785714285714286,0.202380952380952,0.107692307692308
27033,70,0.814285714285714,0.171428571428571,0.120300751879699
27034,236,0.73728813559322,0.228813559322034,0.0842787682333874
27035,620,0.733870967741935,0.241935483870968,0.164370982552801
27036,593,0.617200674536256,0.337268128161889,0.123893805309735
27037,585,0.784615384615385,0.179487179487179,0.153474903474903
27038,760,0.798684210526316,0.175,0.190693430656934
27039,550,0.801818181818182,0.16,0.179553264604811
27040,580,0.848275862068966,0.122413793103448,0.201238390092879
27041,548,0.903284671532847,0.0766423357664234,0.204174228675136
27042,622,0.779742765273312,0.183279742765273,0.121080139372822
27043,303,0.534653465346535,0.419141914191419,0.0576208178438662
27044,448,0.729910714285714,0.238839285714286,0.202877697841727
27045,604,0.764900662251656,0.206953642384106,0.2
27046,174,0.431034482758621,0.540229885057471,0.0348258706467662
27047,600,0.691666666666667,0.276666666666667,0.119273984442524
27048,568,0.515845070422535,0.443661971830986,0.109821428571429
27049,557,0.522441651705566,0.44524236983842,0.0784123910939013
27050,435,0.558620689655172,0.422988505747126,0.0829439252336449
27051,763,0.302752293577982,0.669724770642202,0.0516934046345811
27052,521,0.648752399232246,0.307101727447217,0.130296610169492
27053,445,0.530337078651685,0.447191011235955,0.0711645101663586
27054,266,0.556390977443609,0.398496240601504,0.124045801526718
27055,392,0.681122448979592,0.290816326530612,0.139329805996473
27056,378,0.772486772486772,0.224867724867725,0.228148148148148
27057,340,0.311764705882353,0.655882352941176,0.053639846743295
27059,527,0.510436432637571,0.447817836812144,0.164108618654073
27060,326,0.644171779141104,0.325153374233129,0.162750217580505
27061,494,0.649797570850202,0.309716599190283,0.192567567567568
27062,471,0.636942675159236,0.331210191082803,0.258833922261484
27063,577,0.637781629116118,0.325823223570191,0.247403210576015
27064,646,0.678018575851393,0.292569659442724,0.262644188110027
27065,603,0.570480928689884,0.39469320066335,0.172815533980583
27066,593,0.603709949409781,0.357504215851602,0.164855072463768
27067,612,0.629084967320261,0.330065359477124,0.223584905660377
27068,601,0.574043261231281,0.394342762063228,0.166666666666667
28001,399,0.839598997493734,0.135338345864662,0.373860182370821
28002,288,0.763888888888889,0.225694444444444,0.230414746543779
28003,605,0.710743801652893,0.251239669421488,0.269144144144144
28004,307,0.716612377850163,0.257328990228013,0.214285714285714
28005,220,0.781818181818182,0.186363636363636,0.251989389920424
28006,382,0.565445026178011,0.369109947643979,0.257410296411856
28007,139,0.676258992805755,0.302158273381295,0.143958868894602
28008,131,0.351145038167939,0.564885496183206,0.0650406504065041
28009,406,0.67487684729064,0.288177339901478,0.181672025723473
28010,444,0.628378378378378,0.326576576576577,0.0963855421686747
28011,490,0.677551020408163,0.287755102040816,0.162198391420912
28012,390,0.733333333333333,0.220512820512821,0.0939130434782609
28013,24,0.416666666666667,0.5,0.09375
28014,469,0.673773987206823,0.28997867803838,0.184807256235828
28015,613,0.484502446982055,0.466557911908646,0.122211445198836
28016,686,0.386297376093294,0.593294460641399,0.0727848101265823
28017,625,0.4832,0.4832,0.139867841409692
28018,771,0.599221789883268,0.346303501945525,0.10677808727948
28019,759,0.678524374176548,0.281949934123847,0.0597779675491033
28020,724,0.755524861878453,0.183701657458564,0.101298701298701
28021,719,0.617524339360223,0.344923504867872,0.0277777777777778
28022,718,0.701949860724234,0.249303621169916,0.039054470709147
28023,691,0.813314037626628,0.157742402315485,0.091866028708134
28024,390,0.748717948717949,0.223076923076923,0.0550774526678141
28025,683,0.743777452415813,0.194729136163982,0.148367952522255
28026,317,0.829652996845426,0.126182965299685,0.104803493449782
28027,324,0.75,0.216049382716049,0.109615384615385
28028,723,0.728907330567082,0.235131396957123,0.0594758064516129
28029,535,0.775700934579439,0.188785046728972,0.070323488045007
28030,481,0.765072765072765,0.189189189189189,0.0766823161189358
28031,699,0.763948497854077,0.198855507868383,0.0505050505050505
28032,388,0.652061855670103,0.327319587628866,0.0344168260038241
28033,18,0.5,0.5,0
28034,75,0.733333333333333,0.266666666666667,0.162162162162162
28035,655,0.70381679389313,0.268702290076336,0.0622448979591837
28036,675,0.777777777777778,0.179259259259259,0.0902255639097744
28037,559,0.67262969588551,0.271914132379249,0.0912280701754386
28038,726,0.736914600550964,0.236914600550964,0.0608365019011407
28039,745,0.719463087248322,0.23758389261745,0.103448275862069
28040,667,0.689655172413793,0.268365817091454,0.0738581146744412
28041,681,0.649045521292217,0.301027900146843,0.0954198473282443
28042,705,0.756028368794326,0.191489361702128,0.129422718808194
28043,557,0.687612208258528,0.272890484739677,0.102533172496984
28044,689,0.693759071117562,0.262699564586357,0.120786516853933
28045,600,0.588333333333333,0.378333333333333,0.0628465804066543
